State,City Name,Type Of Weather,Lat,Long,Total Number Of Accidents  (UOM:Number),Possibility
Andhra Pradesh,Vijaywada city,Foggy & Misty,16.5193,80.6305,38.666666666666664,Low
Andhra Pradesh,Vijaywada city,Hail/Sleet,16.5193,80.6305,0.0,Low
Andhra Pradesh,Vijaywada city,Others,16.5193,80.6305,19.333333333333332,Low
Andhra Pradesh,Vijaywada city,Rainy,16.5193,80.6305,10.333333333333334,Low
Andhra Pradesh,Vijaywada city,Sunny/Clear,16.5193,80.6305,1196.6666666666667,Medium
Andhra Pradesh,Vishakhapatnam,Foggy & Misty,17.704052,83.297663,110.33333333333333,Medium
Andhra Pradesh,Vishakhapatnam,Hail/Sleet,17.704052,83.297663,20.0,Medium
Andhra Pradesh,Vishakhapatnam,Others,17.704052,83.297663,271.6666666666667,High
Andhra Pradesh,Vishakhapatnam,Rainy,17.704052,83.297663,98.0,Medium
Andhra Pradesh,Vishakhapatnam,Sunny/Clear,17.704052,83.297663,1436.6666666666667,Medium
Bihar,Patna,Foggy & Misty,25.615379,85.101027,146.0,Medium
Bihar,Patna,Hail/Sleet,25.615379,85.101027,0.0,Low
Bihar,Patna,Others,25.615379,85.101027,5.0,Low
Bihar,Patna,Rainy,25.615379,85.101027,125.0,Medium
Bihar,Patna,Sunny/Clear,25.615379,85.101027,151.0,Low
Chandigarh,Chandigarh ,Foggy & Misty,30.736292,76.788398,3.3333333333333335,Low
Chandigarh,Chandigarh ,Hail/Sleet,30.736292,76.788398,0.0,Low
Chandigarh,Chandigarh ,Others,30.736292,76.788398,0.0,Low
Chandigarh,Chandigarh ,Rainy,30.736292,76.788398,3.0,Low
Chandigarh,Chandigarh ,Sunny/Clear,30.736292,76.788398,217.66666666666666,Low
Chhattisgarh,Raipur,Foggy & Misty,21.233333,81.633333,37.0,Low
Chhattisgarh,Raipur,Hail/Sleet,21.233333,81.633333,3.3333333333333335,Low
Chhattisgarh,Raipur,Others,21.233333,81.633333,140.33333333333334,Medium
Chhattisgarh,Raipur,Rainy,21.233333,81.633333,259.6666666666667,High
Chhattisgarh,Raipur,Sunny/Clear,21.233333,81.633333,1451.3333333333333,Medium
Delhi,Delhi,Foggy & Misty,28.651952,77.231495,363.0,High
Delhi,Delhi,Hail/Sleet,28.651952,77.231495,0.0,Low
Delhi,Delhi,Others,28.651952,77.231495,1394.6666666666667,High
Delhi,Delhi,Rainy,28.651952,77.231495,550.0,High
Delhi,Delhi,Sunny/Clear,28.651952,77.231495,2528.3333333333335,High
Gujarat,Ahmedabad,Foggy & Misty,23.025793,72.587265,15.666666666666666,Low
Gujarat,Ahmedabad,Hail/Sleet,23.025793,72.587265,0.0,Low
Gujarat,Ahmedabad,Others,23.025793,72.587265,0.0,Low
Gujarat,Ahmedabad,Rainy,23.025793,72.587265,26.666666666666668,Low
Gujarat,Ahmedabad,Sunny/Clear,23.025793,72.587265,1288.6666666666667,Medium
Gujarat,Rajkot,Foggy & Misty,22.291606,70.793217,9.666666666666666,Low
Gujarat,Rajkot,Hail/Sleet,22.291606,70.793217,54.333333333333336,High
Gujarat,Rajkot,Others,22.291606,70.793217,7.333333333333333,Low
Gujarat,Rajkot,Rainy,22.291606,70.793217,49.333333333333336,Low
Gujarat,Rajkot,Sunny/Clear,22.291606,70.793217,330.3333333333333,Low
Gujarat,Surat,Foggy & Misty,21.195944,72.830232,14.333333333333334,Low
Gujarat,Surat,Hail/Sleet,21.195944,72.830232,0.0,Low
Gujarat,Surat,Others,21.195944,72.830232,101.33333333333333,Medium
Gujarat,Surat,Rainy,21.195944,72.830232,70.33333333333333,Medium
Gujarat,Surat,Sunny/Clear,21.195944,72.830232,555.3333333333334,Medium
Gujarat,Vadodara,Foggy & Misty,22.299405,73.208119,0.0,Low
Gujarat,Vadodara,Hail/Sleet,22.299405,73.208119,0.0,Low
Gujarat,Vadodara,Others,22.299405,73.208119,0.0,Low
Gujarat,Vadodara,Rainy,22.299405,73.208119,38.666666666666664,Low
