State,Year,City Name,Type Of Weather,Total Number Of Accidents  (UOM:Number),Lat,Long
Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vijaywada city,Foggy & Misty,75,16.5193,80.6305
Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vijaywada city,Hail/Sleet,0,16.5193,80.6305
Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vijaywada city,Others,0,16.5193,80.6305
Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vijaywada city,Rainy,8,16.5193,80.6305
Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vijaywada city,Sunny/Clear,1412,16.5193,80.6305
Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vishakhapatnam,Foggy & Misty,171,17.704052,83.297663
Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vishakhapatnam,Hail/Sleet,44,17.704052,83.297663
Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vishakhapatnam,Others,362,17.704052,83.297663
Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vishakhapatnam,Rainy,137,17.704052,83.297663
Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vishakhapatnam,Sunny/Clear,992,17.704052,83.297663
Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vijaywada city,Foggy & Misty,7,16.5193,80.6305
Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vijaywada city,Hail/Sleet,0,16.5193,80.6305
Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vijaywada city,Others,0,16.5193,80.6305
Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vijaywada city,Rainy,0,16.5193,80.6305
Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vijaywada city,Sunny/Clear,1065,16.5193,80.6305
Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vishakhapatnam,Foggy & Misty,71,17.704052,83.297663
Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vishakhapatnam,Hail/Sleet,9,17.704052,83.297663
Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vishakhapatnam,Others,453,17.704052,83.297663
Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vishakhapatnam,Rainy,25,17.704052,83.297663
Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vishakhapatnam,Sunny/Clear,1207,17.704052,83.297663
Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vijaywada city,Foggy & Misty,34,16.5193,80.6305
Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vijaywada city,Hail/Sleet,0,16.5193,80.6305
Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vijaywada city,Others,58,16.5193,80.6305
Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vijaywada city,Rainy,23,16.5193,80.6305
Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vijaywada city,Sunny/Clear,1113,16.5193,80.6305
Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vishakhapatnam,Foggy & Misty,89,17.704052,83.297663
