Country,State,Year,City Name,Type Of Weather,Total Number Of Accidents  (UOM:Number),Number Of Persons Killed In Road Accident (UOM:Number),Number Of Grievously Injured Persons (UOM:Number),Number Of Minor Injured Persons (UOM:Number),Number Of Total Injured Persons (UOM:Number)
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vijaywada city,Foggy & Misty,75,24,21,48,69
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vijaywada city,Hail/Sleet,0,0,0,0,0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vijaywada city,Others,0,0,0,0,0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vijaywada city,Rainy,8,2,0,7,7
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vijaywada city,Sunny/Clear,1412,328,453,862,1315
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vizag,Foggy & Misty,171,31,95,46,141
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vizag,Hail/Sleet,44,5,43,5,48
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vizag,Others,362,72,263,75,338
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vizag,Rainy,137,13,72,47,119
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vizag,Sunny/Clear,992,202,557,267,824
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vijaywada city,Foggy & Misty,7,3,2,4,6
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vijaywada city,Hail/Sleet,0,0,0,0,0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vijaywada city,Others,0,0,0,0,0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vijaywada city,Rainy,0,0,0,0,0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vijaywada city,Sunny/Clear,1065,271,407,564,971
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vizag,Foggy & Misty,71,7,26,23,49
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vizag,Hail/Sleet,9,0,7,0,7
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vizag,Others,453,68,187,105,292
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vizag,Rainy,25,4,13,8,21
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vizag,Sunny/Clear,1207,176,561,252,813
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vijaywada city,Foggy & Misty,34,13,15,12,27
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vijaywada city,Hail/Sleet,0,0,0,0,0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vijaywada city,Others,58,18,17,33,50
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vijaywada city,Rainy,23,6,6,14,20
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vijaywada city,Sunny/Clear,1113,250,463,521,984
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vizag,Foggy & Misty,89,20,50,24,74
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vizag,Hail/Sleet,7,3,4,0,4
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vizag,Others,0,0,0,0,0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vizag,Rainy,132,17,61,39,100
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vizag,Sunny/Clear,2111,328,831,524,1355
India,Bihar,"Financial Year (Apr - Mar), 2019",Patna,Foggy & Misty,203,80,97,10,107
India,Bihar,"Financial Year (Apr - Mar), 2019",Patna,Hail/Sleet,0,0,0,0,0
India,Bihar,"Financial Year (Apr - Mar), 2019",Patna,Others,15,8,10,0,10
India,Bihar,"Financial Year (Apr - Mar), 2019",Patna,Rainy,146,43,93,5,98
India,Bihar,"Financial Year (Apr - Mar), 2019",Patna,Sunny/Clear,160,61,93,6,99
India,Bihar,"Financial Year (Apr - Mar), 2020",Patna,Foggy & Misty,140,60,87,7,94
India,Bihar,"Financial Year (Apr - Mar), 2020",Patna,Hail/Sleet,0,0,0,0,0
India,Bihar,"Financial Year (Apr - Mar), 2020",Patna,Others,0,0,0,0,0
India,Bihar,"Financial Year (Apr - Mar), 2020",Patna,Rainy,88,30,69,3,72
India,Bihar,"Financial Year (Apr - Mar), 2020",Patna,Sunny/Clear,145,91,72,5,77
India,Bihar,"Financial Year (Apr - Mar), 2021",Patna,Foggy & Misty,95,56,84,3,87
India,Bihar,"Financial Year (Apr - Mar), 2021",Patna,Hail/Sleet,0,0,0,0,0
India,Bihar,"Financial Year (Apr - Mar), 2021",Patna,Others,0,0,0,0,0
India,Bihar,"Financial Year (Apr - Mar), 2021",Patna,Rainy,141,81,86,4,90
India,Bihar,"Financial Year (Apr - Mar), 2021",Patna,Sunny/Clear,148,73,102,6,108
India,Chandigarh,"Financial Year (Apr - Mar), 2019",Chandigarh,Foggy & Misty,2,1,1,0,1
India,Chandigarh,"Financial Year (Apr - Mar), 2019",Chandigarh,Hail/Sleet,0,0,0,0,0
India,Chandigarh,"Financial Year (Apr - Mar), 2019",Chandigarh,Others,0,0,0,0,0
India,Chandigarh,"Financial Year (Apr - Mar), 2019",Chandigarh,Rainy,4,0,0,5,5
India,Chandigarh,"Financial Year (Apr - Mar), 2019",Chandigarh,Sunny/Clear,299,103,16,253,269
India,Chandigarh,"Financial Year (Apr - Mar), 2020",Chandigarh,Foggy & Misty,6,6,0,3,3
India,Chandigarh,"Financial Year (Apr - Mar), 2020",Chandigarh,Hail/Sleet,0,0,0,0,0
India,Chandigarh,"Financial Year (Apr - Mar), 2020",Chandigarh,Others,0,0,0,0,0
India,Chandigarh,"Financial Year (Apr - Mar), 2020",Chandigarh,Rainy,1,1,0,0,0
India,Chandigarh,"Financial Year (Apr - Mar), 2020",Chandigarh,Sunny/Clear,152,46,14,131,145
India,Chandigarh,"Financial Year (Apr - Mar), 2021",Chandigarh,Foggy & Misty,2,1,0,1,1
India,Chandigarh,"Financial Year (Apr - Mar), 2021",Chandigarh,Hail/Sleet,0,0,0,0,0
India,Chandigarh,"Financial Year (Apr - Mar), 2021",Chandigarh,Others,0,0,0,0,0
India,Chandigarh,"Financial Year (Apr - Mar), 2021",Chandigarh,Rainy,4,4,0,1,1
India,Chandigarh,"Financial Year (Apr - Mar), 2021",Chandigarh,Sunny/Clear,202,91,9,161,170
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Raipur,Foggy & Misty,62,9,2,38,40
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Raipur,Hail/Sleet,10,0,0,0,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Raipur,Others,421,0,0,0,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Raipur,Rainy,138,27,5,77,82
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Raipur,Sunny/Clear,1515,422,68,1391,1459
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",Raipur,Foggy & Misty,27,2,2,21,23
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",Raipur,Hail/Sleet,0,0,0,0,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",Raipur,Others,0,0,0,0,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",Raipur,Rainy,309,32,9,186,195
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",Raipur,Sunny/Clear,1430,448,38,1038,1076
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Raipur,Foggy & Misty,22,1,0,9,9
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Raipur,Hail/Sleet,0,0,0,0,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Raipur,Others,0,0,0,0,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Raipur,Rainy,332,34,9,192,201
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Raipur,Sunny/Clear,1409,437,54,1047,1101
